DET,A,O,,,
NOUN,bus,O,,,
ADV,suddenly,O,,,
VERB,braked,O,,,
CONJ,and,O,,1-4769-ME&JAYA(PC) THIS SHEET,
DET,a,O,,4769-5000 MEENU,THIS SHEET
NUM,58-year,O,,5000-10000 JAYA,
PUNCT,-,O,,"10,000-53450 MEENU",THIS SHEET
ADJ,old,O,,66841-87671 JAYA,
NOUN,woman,O,,,
VERB,fell,O,,,
CONJ,and,O,,,
VERB,hit,O,,,
ADJ,her,O,,,
NOUN,head,O,,,
PUNCT,0,O,,,
,,,,,
ADP,While,O,,,
PRON,she,O,,,
VERB,survived,O,,,
ADP,after,O,,,
VERB,receiving,O,,,
DET,a,O,,,
NOUN,surgery,O,,,
PUNCT,",",O,,,
PRON,she,O,,,
ADV,now,O,,,
VERB,has,O,,,
DET,an,O,,,
ADJ,artificial,O,,,
NOUN,skull,O,,,
CONJ,and,O,,,
VERB,lost,O,,,
ADJ,her,O,,,
NOUN,senses,O,,,
ADP,of,O,,,
NOUN,smell,O,,,
CONJ,and,O,,,
NOUN,taste,O,,,
ADV,as,O,,,
ADV,well,O,,,
PUNCT,0,O,,,
,,,,,
ADJ,Her,O,,,
NOUN,husband,O,,,
VERB,sued,O,,,
PROPN,SMRT,ORG,,,
CONJ,and,O,,,
DET,the,O,,,
NOUN,bus,O,,,
NOUN,driver,O,,,
ADP,on,O,,,
ADJ,her,O,,,
NOUN,behalf,O,,,
PART,to,O,,,
VERB,seek,O,,,
NOUN,damages,O,,,
PUNCT,0,O,,,
,,,,,
DET,The,O,,,
NOUN,trial,O,,,
VERB,was,O,,,
VERB,supposed,O,,,
PART,to,O,,,
VERB,open,O,,,
NOUN,today,DATE,,,
PUNCT,",",O,,,
CONJ,but,O,,,
DET,both,O,,,
NOUN,parties,O,,,
VERB,came,O,,,
ADP,to,O,,,
DET,a,O,,,
NOUN,settlement,O,,,
ADP,with,O,,,
PROPN,SMRT,ORG,,,
VERB,agreeing,O,,,
PART,to,O,,,
VERB,take,O,,,
NUM,95,PERCENT,,,
NOUN,%,PERCENT,,,
NOUN,accountability,O,,,
ADP,for,O,,,
DET,the,O,,,
NOUN,accident,O,,,
PUNCT,0,O,,,
,,,,,
DET,The,O,,,
NOUN,amount,O,,,
ADP,of,O,,,
NOUN,damages,O,,,
VERB,will,O,,,
VERB,be,O,,,
VERB,calculated,O,,,
NUM,one,CARDINAL,,,
ADJ,later,O,,,
NOUN,date,O,,,
PUNCT,0,O,,,
